titulo_do_filme,data_de_lancamento,genero,mpa_classificacao,total_bruto,bruto_ajustado_pela_inflacao
Operation Dumbo Drop,1995-07-28,aventura,PG,24670346,47809421
Dangerous Minds,1995-08-11,drama,R,84919401,164552293
A Kid in King Arthur's Court,1995-08-11,aventura,PG,13406717,25981285
The Tie That Binds,1995-09-08,suspense,R,5762795,11167895
Unstrung Heroes,1995-09-15,drama,PG,7929000,15365850
The Big Green,1995-09-29,comedia,PG,17736619,34372339
Dead Presidents,1995-10-04,drama,R,24120194,46741467
The Scarlet Letter,1995-10-13,drama,R,10359006,20075033
Feast of July,1995-10-13,drama,R,293274,568342
Powder,1995-10-27,drama,PG-13,30833914,59727216
Toy Story,1995-11-22,aventura,G,191796233,370409631
Father of the Bride Part II,1995-12-08,comedia,PG,76578911,147658438
Nixon,1995-12-20,drama,R,13668249,26302005
Tom and Huck,1995-12-22,aventura,PG,23837227,45911517
Mr. Holland's Opus,1995-12-29,drama,PG,82582604,157508868
White Squall,1996-02-02,aventura,PG-13,10229300,19509726
Muppet Treasure Island,1996-02-16,aventura,G,34327391,65470567
Mr. Wrong,1996-02-16,comedia_romantica,PG-13,12805071,24422334
Before and After,1996-02-23,drama,PG-13,8642118,16482589
Up Close & Personal,1996-03-01,drama,PG-13,51045801,97356578
Homeward Bound II: Lost in San Franc…,1996-03-08,aventura,G,32709423,62384706
Two Much,1996-03-15,comedia_romantica,PG-13,1078555,2057055
Un indien dans la ville,1996-03-22,comedia,PG,1029731,1963937
James and the Giant Peach,1996-04-12,aventura,PG,28921264,55159783
Celtic Pride,1996-04-19,comedia,PG-13,9240378,17623615
Last Dance,1996-05-03,drama,R,5857534,11171714
Boys,1996-05-10,drama,PG-13,21930418,41826566
Spy Hard,1996-05-24,comedia,PG-13,26936265,51373912
Eddie,1996-05-31,comedia,PG-13,31369401,59828966
The Rock,1996-06-07,acao,R,134069511,255702705
The Hunchback of Notre Dame,1996-06-21,aventura,G,100138851,190988799
Phenomenon,1996-07-05,drama,PG,104636382,199559799
